Value|Category|Answer|Question
300|FAMOUS WOMEN|Sacagawea|In 1804 fur trader Toussaint Charbonneau made her his wife
400|FAMOUS WOMEN|Sarah Lawrence|Yoko Ono attended this Bronxville, N.Y. private women's college with a female name
500|FAMOUS WOMEN|Mrs. (Debbi) Fields|She opened her first chocolate chippery in Palo Alto, California in 1977
100|PRESIDENTIAL FACTS|Lyndon B. Johnson|1967's Time magazine Man of the Year
200|PRESIDENTIAL FACTS|Herbert Hoover|Having Charles Curtis as his running mate in 1932 didn't help; he was not reelected
300|PRESIDENTIAL FACTS|Andrew Johnson|The last president born in North Carolina, he served until 1869
400|PRESIDENTIAL FACTS|Thomas Jefferson|(Hi, I'm George Clinton)  In 1805 New York governor George Clinton became vice president under this man
500|PRESIDENTIAL FACTS|Ulysses S. Grant (Eisenhower & Carter were the others.)|The first of 3 U.S. presidents to graduate from a military academy
100|CELEBRITY RHYME TIME|Goldie's oldies|Ms. Hawn's collection of early rock hits
200|CELEBRITY RHYME TIME|Streep's Jeeps|Meryl's 4-wheel-drive Wranglers
300|CELEBRITY RHYME TIME|Ben's hens|Affleck's female chickens
400|CELEBRITY RHYME TIME|Val's pals|Kilmer's comrades
500|CELEBRITY RHYME TIME|Love's doves|Singer Courtney's pigeons
100|FILL IN THE BLANK|Fly|House_________ Horse__________ Tsetse_________
200|FILL IN THE BLANK|Drop|Lemon________ Rain__________ Cough________
300|FILL IN THE BLANK|Bag|Saddle_______ Sleeping______ Punching______
400|FILL IN THE BLANK|Race|Presidential________ Rat_______________ Drag______________
500|FILL IN THE BLANK|Pen|Fountain_________ Bull_____________ Pig_____________
100|STUPID ANSWERS|grapefruit|The name of this fruit comes from the fact that it grows in grapelike clusters
200|STUPID ANSWERS|the Frisbie Bakery|(Alex narrates the video clue.)  Frisbee playing started on New Haven Green when students tossed around pie plates from this bakery
300|STUPID ANSWERS|Taco Bell|Glen Bell founded this taco chain in 1962
400|STUPID ANSWERS|Sioux City|This city in Iowa is at the confluence of the Big Sioux & Missouri Rivers
500|STUPID ANSWERS|Marathon|At the 2004 Olympics, this event's course will run from Marathon to Athens
100|BIRTH OF A PRESIDENT|Bill Clinton|August 19, 1946 in Hope, Arkansas
200|BIRTH OF A PRESIDENT|Harry S. Truman|May 8, 1884 in Lamar, Missouri
300|BIRTH OF A PRESIDENT|Abraham Lincoln|February 12, 1809 in Hardin County, Kentucky
400|BIRTH OF A PRESIDENT|Ronald Reagan|February 6, 1911 in Tampico, Illinois
500|BIRTH OF A PRESIDENT|Woodrow Wilson|December 28, 1856 in Staunton, Virginia
100|OCEAN LIFE|bird|The species Oceanites oceanicus isn't a fish but a petrel, one of these
200|OCEAN LIFE|elephant|The manatee is distantly related to this land mammal that also uses its snout to push food into its mouth
300|OCEAN LIFE|tuna|A Pacific northern bluefin one of these fish was tracked swimming 6,700 miles from Japan to Baja
400|OCEAN LIFE|stingray|(Sarah of the Clue Crew snorkeling in the Barrier Reef near Belize)  A poisonous saw-toothed spine on its tail gives this creature its name
500|OCEAN LIFE|porpoises|Having flat teeth is one way that these animals differ from the related dolphins who have pointy triangular teeth
100|A WORLD OF PIRATES|Julius Caesar|Later dictator, this Roman was kidnapped by pirates while on a journey to Rhodes around 75 B.C.
200|A WORLD OF PIRATES|Barbary Pirates|In 1815 Washington Irving planned to join Stephen Decatur on an expedition against these north African pirates
300|A WORLD OF PIRATES|Hook|The costumes for this 1991 Steven Spielberg film included 350 pirate outfits for the extras alone
400|A WORLD OF PIRATES|Captain Kidd|Born around 1645, this pirate captain was sent to England for trial & hanged in 1701
500|A WORLD OF PIRATES|The Pirates of Penzance|Kevin Kline won a Tony Award for his role in this swashbuckling Gilbert & Sullivan operetta
100|QUASI-RELATED PAIRS|pride & prejudice|Lion group & an opinion based on stereotyping
200|QUASI-RELATED PAIRS|laurel & hardy|A wreath of leaves & possessing the quality of robustness
300|QUASI-RELATED PAIRS|learner & low|A student & the opposite of high
400|QUASI-RELATED PAIRS|a stare & rogers|One fixed glance & Messrs. Daltrey & Bannister
500|QUASI-RELATED PAIRS|Oscar & Felix|An Academy Award & a famous cartoon cat
100|FEMINISM|bloomers|Elizabeth Cady Stanton's cousin Elizabeth Smith Miller first wore these trousers named for another woman
200|FEMINISM|76 cents|Of 76, 86 or 96 cents, what U.S. women working full-time earn for every dollar their male counterparts make
300|FEMINISM|suffragettes|Emmeline & Christabel Pankhurst were a mother-daughter team of these activists for the vote
400|FEMINISM|Women's History Month|The work of Laura X (no relation to Malcolm) led to March being designated this every year
500|FEMINISM|stalking|The Violence Against Women Act of 2000 addresses this behavior ranging from lying in wait to actual harassment
100|THE NEAREST CONTINENT|North America|Baffin Island
200|THE NEAREST CONTINENT|Asia|Hainan
300|THE NEAREST CONTINENT|South America|Trinidad & Tobago
400|THE NEAREST CONTINENT|Europe|East Frisian Islands
500|THE NEAREST CONTINENT|Africa|Sao Tome & Principe
100|NAME THE SPORT|putt-putt (or miniature golf)|Carpet, hazards, a windmill, a castle
200|NAME THE SPORT|soccer|11 teammates, a center circle, a penalty area, a goal
300|NAME THE SPORT|ice hockey|6 teammates, a center line, a blue line, a crease
400|NAME THE SPORT|polo|4 teammates, a safety zone, a 40 yard mark, goal posts
500|NAME THE SPORT|curling|4 teammates, a house, a hog line, a tee line
100|BORDERLINE STATES|Washington|Idaho, Oregon
200|BORDERLINE STATES|Vermont|Massachusetts, New Hampshire, New York
300|BORDERLINE STATES|Montana|Idaho, North Dakota, South Dakota, Wyoming
400|BORDERLINE STATES|Louisiana|Arkansas, Mississippi, Texas
500|BORDERLINE STATES|Wisconsin|Illinois, Iowa, Michigan, Minnesota
100|4-LETTER WORDS|Tire/tube|In 1888 John Dunlop put his new pneumatic type of this on a bicycle
200|4-LETTER WORDS|Fire|A perpetual one was tended to by the Vestal Virgins
300|4-LETTER WORDS|Gene|Middle name of cowboy star Orvon Autry
400|4-LETTER WORDS|Fish|Deep-bodied with flat sides & a small head, a bream is a type of this
500|4-LETTER WORDS|King & pawn|Besides the rook, the 2 other chess pieces that fit the category
100|ENERGY|northeast|Of northeast, northwest, southeast or southwest, the area that has 3/4 of the USA's oil-heated homes
200|ENERGY|uranium|Kazakhstan & Australia combine to mine half of the world's production of this element needed for nuclear power
300|ENERGY|diesel|The EPA is cleaning up truck & bus exhaust by cutting the sulfur content in this fuel by 97%
400|ENERGY|coal|2/3 of the world's steel is produced using this as fuel
500|ENERGY|Sun|Nearly all artificial satellites are powered by batteries charged by this
100|RELIGION|Islam|The Persian poet Rumi was a Sufi, a member of the mystic sect of this religion
200|RELIGION|Joseph Smith|The angel Moroni told him about the golden plates from which the Book of Mormon was translated
300|RELIGION|Pope|Officially, any practicing Roman Catholic male can be elected to this high office
400|RELIGION|Newport|Dating from 1763, the oldest synagogue in the U.S. is in this resort town in Rhode Island
500|RELIGION|Mosque|House of worship in which prayer is led by an imam
100|SHARK!|Swim|Unlike most sharks, the nurse shark does not have to constantly do this
200|SHARK!|Teeth|When old ones are lost new ones quickly move in & replace them
300|SHARK!|Fin|The Chinese dry & use this part of the shark in soup
400|SHARK!|Liver|Sharks have no swim bladder so this oil-filled organ helps keep them from sinking
500|SHARK!|Whale shark|This, not the great white, is the largest shark; & it eats only plankton & little fish
100|THE ARABIAN NIGHTS|Aladdin|An African magician claiming to be this boy's uncle traps him in a cave: a genie gets him out
200|THE ARABIAN NIGHTS|a magic carpet|Prince Houssain buys this transportation device at a bazaar for 40 purses of gold
300|THE ARABIAN NIGHTS|Scheherazade|To prevent her execution, this daughter of a vizier tells the king a story a night for 1,001 nights
400|THE ARABIAN NIGHTS|Aladdin|He picked up the transparent fruit of different colors on the way back from getting the wonderful lamp
500|THE ARABIAN NIGHTS|Sinbad|After a horrible first voyage he had planned to stay in Baghdad, but wound up making 6 more
100|POLITICIANS|Dianne Feinstein|She was mayor of San Francisco from 1978 to 1988
200|POLITICIANS|Henry Kissinger|Both Nixon & Ford employed his services as Secretary of State
300|POLITICIANS|Barney Frank|He's the U.S. representative from Massachusetts seen here
400|POLITICIANS|Reform Party|In 2000 Donald Trump challenged Pat Buchanan for this party's presidential nomination
500|POLITICIANS|Ed Koch|In 1989 David Dinkins defeated this man in NYC's Democratic mayoral primary
100|LANGUAGES|Tajikistan|This country's official language, Tajik, is an Iranian language
200|LANGUAGES|Spanish|This language's main dialect, Castilian, developed from the area of Burgos
300|LANGUAGES|German|Words in the English language taken directly from this language include flak, hinterland & kindergarten
400|LANGUAGES|Hindi|Important literary works in the Eastern variety of this language of India are written in Awadhi
500|LANGUAGES|French|Although Wolof is Senegal's most widely spoken language, this is its official language
100|PRIME NUMBER, PLEASE|109|In 1943 a young JFK was given command of the PT this
200|PRIME NUMBER, PLEASE|227|This Marla Gibbs sitcom ran from 1985 to 1990
300|PRIME NUMBER, PLEASE|V (5)|Of V, X, L, D or C, the prime number
400|PRIME NUMBER, PLEASE|409|Clorox' all-purpose cleaner is Formula this
500|PRIME NUMBER, PLEASE|97|If you start with 99 bottles of beer on the wall, it's the first prime number you'll be left with after some fall
100|SALAD|Macaroni salad|The ever-popular salad made from this elbow-shaped pasta often contains celery, olives & chopped pimiento
200|SALAD|Carrots|Raisins & nuts are traditional ingredients in the salad made from these grated orange veggies
300|SALAD|Wheat|Tabbouleh, a Middle Eastern salad, combines parsley, mint & lemon juice with the bulgur type of this
400|SALAD|Aspic|Diced raw vegetables may be added to the tomato type of this molded gelatin salad
500|SALAD|chef's salad|This salad named for a kitchen professional features julienned cheeses & meats
100|I BEG YOUR PARDON|Richard Nixon|Gerald Ford issued 382 pardons but the one issued to this man in 1974 is said to have cost Ford the 1976 election
200|I BEG YOUR PARDON|Scooter Libby|The Wall Street Journal wanted an immediate pardon for him after his perjury conviction in the Valerie Plame case
300|I BEG YOUR PARDON|Patty Hearst|In 2001 she was pardoned for a 1974 armed bank robbery & for using a firearm during a felony
400|I BEG YOUR PARDON|Caspar Weinberger|Not the friendly ghost, this Secretary of Defense was pardoned for his role in Iran-Contra
500|I BEG YOUR PARDON|Hugo Chavez|In 1994 he was pardoned for leading a coup vs. the President of Venezuela; by 1999 he was President
100|DOG TAGS|George H.W. Bush|Born 1924, Milton, Massachusetts; pooch: Millie, a Springer spaniel
200|DOG TAGS|Alexander the Great|Born 356 B.C., Pella, Macedonia; pooch: Peritas, who had a city named in his honor
300|DOG TAGS|Adolf Hitler|Born 1889, Braunau-am-Inn, Austria-Hungary; pooch: Blondi, a German shepherd
400|DOG TAGS|Sir Isaac Newton|Born 1642, Woolsthorpe, England; mischievous cur: Diamond, known to destroy scientific papers
500|DOG TAGS|Gen. George Patton|Born 1885, San Gabriel, Calif.; military pooch: Willie (aka William the Conqueror), a bull terrier (he never slapped him)
100|MADE IN JAPAN|Yen|A rin is 1/10 of a sen, which is 1/100 of one of these
200|MADE IN JAPAN|Rice|The Japonica type of this has less amylose & more amylopectin than other types, giving it the texture the Japanese like
300|MADE IN JAPAN|Mount Fuji|On the Shizuoka-Yamanashi border, it's still classified as active, though dormant since 1707
400|MADE IN JAPAN|Bamboo|The Shakuhachi & the Sho are flutes made out of this
500|MADE IN JAPAN|Chopsticks|It's Japanese custom for people in a house to have their own pair of hashi, these, for personal use
100|NOTABLES RHYME TIME|Frank's tanks|Ol' Blue Eyes' squadron of Panzers
200|NOTABLES RHYME TIME|Rita's pitas|Hayworth's pocket bread sandwiches
300|NOTABLES RHYME TIME|Bill's thrills|Mr. Gates' excitements
400|NOTABLES RHYME TIME|Cher's bears|The ex-Mrs. Bono's grizzlies
500|NOTABLES RHYME TIME|Mark's arks|Obsessive aquatic constructions by Samuel Clemens in advance of a new deluge
100|EVERYTHING'S COMING UP|January 20, 2001|It's the scheduled date of the next presidential inauguration
200|EVERYTHING'S COMING UP|December 31, 2000|Technically, this upcoming date will be the last day of the 20th century
300|EVERYTHING'S COMING UP|2002|After the year 2000, it's the next year in which U.S. Senate elections will be held
400|EVERYTHING'S COMING UP|Amy Carter|This daughter of a U.S. president turns 33 on Oct. 19, 2000
500|EVERYTHING'S COMING UP|Tampa Bay Buccaneers|On Jan. 28, 2001 the stadium of this Florida NFL team will be the site of the Super Bowl
100|ECONOMICS|United Nations|The International Monetary Fund, established in 1945, is a specialized agency of this organization
200|ECONOMICS|Gross Domestic Product|A leading yardstick of a country's economy is this, abbreviated GDP
300|ECONOMICS|recession|Since WWII, not one of these in the U.S. has developed into the next phase, a depression
400|ECONOMICS|socialism|Karl Marx put this system between capitalism & communism
500|ECONOMICS|Unemployment|The level of this is seasonal, rising in June when students look for work
100|TAKE A LETTER|X|In religious writing, this symbol of the Greek letter chi represents Christ
200|TAKE A LETTER|W|In German, it usually has the sound that English gives to the letter before it in the alphabet
300|TAKE A LETTER|O|Used chiefly in poetic or religious invocations, it's an interjection expressing strong emotion
400|TAKE A LETTER|F|On report cards, it's the opposite of P
500|TAKE A LETTER|S|It makes Mary or Bill very possessive
100|THE 1960s|Valentina Tereshkova|In 1963, she married fellow cosmonaut Andrian Nikolayev
200|THE 1960s|the Dominican Republic|Rafael Trujillo, dictator of this country, was assassinated by military leaders in 1961
300|THE 1960s|Roman Catholic|The Second Vatican Council of 1962-65 addressed this church's role in the modern world
400|THE 1960s|Soviet Union (USSR)|This now-defunct nation joined the U.S. in a 1963 nuclear test ban, damaging its relations with China
500|THE 1960s|Hippies|By mid-decade the black-clad beatniks evolved into these long-haired, love-happy rebels
100|WHEN THEY WERE IN COLLEGE|BYU (Brigham Young)|Steve Young was a quarterback at this school named for his great-great-great-grandfather
200|WHEN THEY WERE IN COLLEGE|Northwestern|Julia Louis-Dreyfus was part of an improv troupe while attending this university in Evanston, Illinois
300|WHEN THEY WERE IN COLLEGE|Cambridge|Emma Thompson staged an innovative all-female revue while studying at this British university
400|WHEN THEY WERE IN COLLEGE|University of Virginia|Katie Couric was an associate editor of The Cavalier Daily while at this Charlottesville school
500|WHEN THEY WERE IN COLLEGE|Iman|This supermodel from Somalia was discovered when she was a student at the University of Nairobi
100|AMERICANA|a scar|When G.I. Joe was introduced, he had one of these on his face; today, plastic surgery would take care of it
200|AMERICANA|the America's Cup|In 1903 the American yacht Reliance defended this trophy against the Irish yacht Shamrock III
300|AMERICANA|Airstream|The Wally Byam Caravan Club International is for owners of this distinctive-looking brand of trailer
400|AMERICANA|Charleston|The Dock Street Theatre, one of America's oldest, was built in this South Carolina seaport in 1736
500|AMERICANA|Lake Michigan|It's the third largest of the Great Lakes; it's the third smallest, too
100|WOMEN IN CHARGE|Indira Gandhi|From 1966 to 1977 & from 1980 to 1984, she led the world's largest democracy
200|WOMEN IN CHARGE|Iceland|Vigdis Finnbogadottir led a theatre co. for many years before becoming this country's president in 1980
300|WOMEN IN CHARGE|Chile|In 2010, before her term as president ended, Michelle Bachelet oversaw earthquake relief efforts in this country
400|WOMEN IN CHARGE|Lithuania|In 2009 Vilnius-born Dalia Grybauskaite became president of this country
500|WOMEN IN CHARGE|Corazon Aquino|President of the Philippines from 1986 to 1992, she passed away in 2009
100|AIRPORTS|Galileo|The airport in Pisa, Italy is named for this scientist who performed a few experiments from the city's famous leaning tower
200|AIRPORTS|Charles de Gaulle|CDG, the international code for this Paris airport, stands for the name of a former French president
300|AIRPORTS|Chopin|Poland's largest airport is located in Warsaw & named for this composer
400|AIRPORTS|Chuck Yeager|In 1985 Kanawha Airport in Charleston, W.V. was renamed to honor this pilot who first broke the sound barrier
500|AIRPORTS|Chicago O'Hare|This Midwestern U.S. hub has over 60 million passengers coming & going each year
100|FIRST CLASS|New York|City that was home to the USA's first boat club & organized baseball team, both named Knickerbocker
200|FIRST CLASS|Physics|In 1901 X-ray discoverer Wilhelm Roentgen became the first recipient of a Nobel Prize in this category
300|FIRST CLASS|tattoos|In 1891 Samuel O'Reilly turned Edison's electric engraving pen into the first electric machine to make these, sailor
400|FIRST CLASS|the Air Force Academy|Its first class of cadets was sworn in July 11, 1955 in Colorado
500|FIRST CLASS|John Wheelock|The first class at Dartmouth, est. by Eleazar Wheelock, was: Samuel Gray, Sylvanus Ripley, Levi Frisbie &, of course, this man
100|SURVIVOR: CONGRESS|Ted Kennedy|The tribe has spoken to the 8 Republicans who have run against this Massachusetts senator since 1962
200|SURVIVOR: CONGRESS|Hillary Clinton|The G.O.P. tribe was startled at how fast this N.Y. senator made bipartisan alliances after her 2000 election
300|SURVIVOR: CONGRESS|Katherine Harris|Familiar with tight votes, this ex-Fla. Secy. of State & present lawmaker shook up her tribe pondering a 2004 Senate run
400|SURVIVOR: CONGRESS|(Tom) Daschle|In 2004 the Senate majority leader broke with tradition & campaigned to get this minority leader voted off the Hill
500|SURVIVOR: CONGRESS|Trent Lott|The Strom Thurmond birthday challenge went badly for this Miss. lawmaker & he lost his majority leader immunity
100|THIS CATEGORY IS ABBREVIATED|chief executive officer|The head honcho: CEO
200|THIS CATEGORY IS ABBREVIATED|words per minute|Typist distinction: WPM
300|THIS CATEGORY IS ABBREVIATED|the Office of Management and Budget|A government body: OMB
400|THIS CATEGORY IS ABBREVIATED|value added tax|To an accountant: VAT
500|THIS CATEGORY IS ABBREVIATED|grievous bodily harm|To a policeman: GBH
100|FROM PAGE TO SCREEN|Forrest Gump|Winston Groom's novel about a not-so-smart guy became this Oscar-winning 1994 film
200|FROM PAGE TO SCREEN|Forrest Gump|Winston Groom's novel was the basis for this 1994 film about a man with an IQ of 75
300|FROM PAGE TO SCREEN|The Cider House Rules|John Irving adapted his own novel into this 1999 film in which orphan Tobey Maguire works in an apple orchard
400|FROM PAGE TO SCREEN|Snow Falling on Cedars|David Guterson's book about racism in the Pacific Northwest became this 1999 film that stars a brooding Ethan hawke
500|FROM PAGE TO SCREEN|Shrek|This animated 2001 movie about a green ogre was based on a William Steig story
100|WORDS THAT SHOULD RHYME|golf & wolf|A sand-trapped pastime & Little Red Riding Hood's nemesis
200|WORDS THAT SHOULD RHYME|south & youth|A direction on a map & what proverbially is wasted on the young
300|WORDS THAT SHOULD RHYME|lager & wager|A type of beer & another word for a bet
400|WORDS THAT SHOULD RHYME|a wallet & a mallet|A billfold & a wooden hammer
500|WORDS THAT SHOULD RHYME|dull & bull|Not sharp & a cow's mate
100|FLOAT SAM & JET SAM|Pocahontas|In 1613 British Admiral Samuel Argall sailed up the Potomac & captured this Indian woman
200|FLOAT SAM & JET SAM|Hanoi|Air Force vet Sam Johnson, ranked in 2011 as most conservative congressman, spent 7 years as a P.O.W. in this city
300|FLOAT SAM & JET SAM|Christopher Columbus|From 1937 to 1940 Samuel Eliot Morison researched a 450th anniversary bio by retracing this man's voyages
400|FLOAT SAM & JET SAM|Atlantis|U.S. Army pilot Sam Gemar flew on 3 Space Shuttle missions, starting with this alphabetically first craft
500|FLOAT SAM & JET SAM|the Nile|Capt. Samuel Hood of the Zealous helped Nelson win the 1798 battle of this river, also called the Battle of Aboukir Bay
100|FASHION|Klein|Last name of designers Calvin & Anne, II
200|FASHION|a belt|Playboy okays wearing both suspenders & this, but only if trying out for nerd of the year
300|FASHION|the bikini|Newsweek joked a museum for this apparel invented in 1946 might consist of 2 domes & a pyramid
400|FASHION|Bathing suit|Originally called the Portland Knitting Co., Jantzen introduced its stretch knit one of these in 1913
500|FASHION|Eyelashes|In the '60s model Twiggy wore 3 rows of false ones
100|SPORTS STARS|J (for Joe Montana, Joe Namath, John Elway, and Johnny Unitas)|A 2003 USA today survey of all time great NLF QBs revealed the top 4 all have first names beginning with this letter
200|SPORTS STARS|the Little League World Series|In 1947 a team from Wiliamsport, Pa. won the very first edition of this youth sports championship
300|SPORTS STARS|Michelle Kwan|On March 23, 1996 this 15-year-old American won the women's world figure skating title in Edmonton, Alberta
400|SPORTS STARS|Andre Agassi|This American tennis star's father was an Olympic boxer for Iran
500|SPORTS STARS|Albert Belle|In 1995 this Cleveland slugger led the American League in home runs, RBIs, runs, doubles & total bases
100|ANATOMY|Duodenum/ileum/jejunum|2 of the 3 sections of the small intestine
200|ANATOMY|Nose|Rhin-- or rhino-- at the beginning of a word indicates this body part is involved
300|ANATOMY|Ankle|A sprain of this joint between the talus & tibia is one of the most common injuries
400|ANATOMY|Teeth|All 20 deciduous ones usually erupt by age 3
500|ANATOMY|Adrenal Glands|These glands atop each kidney are composed of 2 parts, each with a different composition & function
100|ANAGRAMS|Sails (for Silas)|Silas does this on his boat every weekend
200|ANAGRAMS|TaB (for bat)|I need a glass of this soft drink after I've been at bat
300|ANAGRAMS|Loaf (for Olaf)|Olaf eats this amount of bread every day
400|ANAGRAMS|Ladle (for Della)|Della lost this utensil, so she had trouble stirring the soup
500|ANAGRAMS|Den (for end)|This room might be at the end of a house
100|TWINS|Metropolis|Brigitte Helm played both the virginal Maria & her sexy robot twin in this 1927 Fritz Lang film
200|TWINS|Jacob & Esau|Famous twins hatched out in Genesis 25
300|TWINS|the Olsens|These twins, actresses & entrepreneurs, were born June 13, 1986 in Sherman Oaks, California
400|TWINS|the Bobbsey Twins|A series of children's books by Laura Lee Hope featured these 2 sets of fraternal twins: Bert & Nan & Freddie & Flossie
500|TWINS|Barbara & Jenna (Bush)|These twins & recent First Daughters were named for their grandmothers
100|BOND MOVIE BY BOND GIRL|Dr. No|1962: Ursula Andress as Honey Ryder
200|BOND MOVIE BY BOND GIRL|Casino Royale|2006: Eva Green as Vesper Lynd
300|BOND MOVIE BY BOND GIRL|The Spy Who Loved Me|1977: Barbara Bach as Major Anya Amasova
400|BOND MOVIE BY BOND GIRL|Die Another Day|2002: Halle Berry as Jinx Johnson
500|BOND MOVIE BY BOND GIRL|Diamonds Are Forever|1971: Jill St. John as Tiffany Case
100|THE HILLS ARE ALIVE|Beverly Hills|In 2011 the median home value in this southern Calif. city was around $1.9 million, with or without cee-ment ponds
200|THE HILLS ARE ALIVE|the foothills|Encyclopedia Britannica says Wels, Austria is in these lower parts of the Eastern Alps
300|THE HILLS ARE ALIVE|the Black Hills|This range covers 6,000 square miles in southwestern South Dakota & eastern Wyoming
400|THE HILLS ARE ALIVE|the Cotswolds|Wold, a Middle English geographical word, gave us the name of these hills, home to Bath & Cheltenham
500|THE HILLS ARE ALIVE|Maximilian|The 200' Chapultepec Hill boasts the castle where this Mexican emperor lived in the 1860s
100|POLITICAL LEADERS|Italy|In 1983 Bettino Craxi became this country's first socialist prime minister
200|POLITICAL LEADERS|the Philippines|The son of a former president, Benigno Aquino III has been president of this nation since 2010
300|POLITICAL LEADERS|1948|David Ben-Gurion first became prime minister of Israel in this year
400|POLITICAL LEADERS|Salvador Allende|Elected president of Chile in 1970, this Marxist died in a military takeover in 1973
500|POLITICAL LEADERS|Jan Paderewski|An ardent Polish patriot, this piano virtuoso served as the country's leader in 1919 & again in exile from 1940 to 1941
100|SKY HIGH|Atlantic City|Trump Taj Mahal at 1000 Boardwalk
200|SKY HIGH|New York City|1 Dag Hammarskjold Plaza at 885 2nd Avenue
300|SKY HIGH|Los Angeles|Aon center at 707 Wilshire Blvd
400|SKY HIGH|Detroit|Cadillac Tower at 65 Cadillac Square
500|SKY HIGH|San Francisco|Four Embarcadero Center at 55 Clay Street
100|SCENTSATIONAL!|Jennifer Lopez|With her signature fragrance called Glow (or is it G. Low?), you can smell just like this spicy diva
200|SCENTSATIONAL!|Happy|C'mon, get this cheerful fragrance from Clinique, around since 1997
300|SCENTSATIONAL!|Poison|Christian Dior introduced this killer scent in 1985
400|SCENTSATIONAL!|Nautica|This brand's colognes for men include Blue, Island Voyage & White Sail
500|SCENTSATIONAL!|Shalimar|Launched in 1925, this classic oriental-floral scent was named for a favorite garden of Shah Jahan & his wife
100|TECHNOLOGY OF THE PAST|candles|It dates back to 3000 B.C., when it was made with beeswax; by the middle ages tallow ones were in wide use
200|TECHNOLOGY OF THE PAST|a fork|This implement amazed foreign visitors when it gained acceptance with diners in 16th century Italy
300|TECHNOLOGY OF THE PAST|a stirrup|Originating in Asia around 200 B.C., this saddle attachment increased the military value of horses
400|TECHNOLOGY OF THE PAST|glass|The earliest man-made examples of this silica & borate material were beads made in the 1500s B.C.
500|TECHNOLOGY OF THE PAST|a wheel|A Sumerian pictograph shows one in 3500 B.C.: the oldest are wooden disks with 3 carved planks clamped by struts
100|TV POP QUIZ|Married....with Children|Al Bundy
200|TV POP QUIZ|Frasier|Martin Crane
300|TV POP QUIZ|Little House on the Prairie|Charles Ingalls
400|TV POP QUIZ|Leave It to Beaver|Ward Cleaver
500|TV POP QUIZ|That '70s Show|Red Forman
100|WATERFOWL|V|Waterfowl may fly in this formation to reduce drag, or maybe they're playing follow the leader
200|WATERFOWL|down|4-letter term for soft, fluffy goose feathers used in pillows & insulating material for outdoor clothing
300|WATERFOWL|mallard|Most domestic ducks descend from this wild species in which the male has a glossy green head & white neck ring
400|WATERFOWL|tribes|Scientists classify ducks into 8 separate groups called these; Native Americans are classified in the same way
500|WATERFOWL|pate de foie gras|In Europe. geese are force-fed to develop fatty livers used to prepare this delicacy
100|OF A MAN NAMED BRADY|Tom Brady|In 2007 this Patriots QB from Michigan threw a single-season record 50 TD passes
200|OF A MAN NAMED BRADY|Brady Quinn|In 2007 this Browns QB from Notre Dame did not throw 50 TD passes
300|OF A MAN NAMED BRADY|Wayne Brady|When he wasn't terrorizing Dave Chappelle, he won 2 Emmys for outstanding talk show host
400|OF A MAN NAMED BRADY|Mathew Brady|By 1851 this photographer's failing eyesight had begun to hamper his work
500|OF A MAN NAMED BRADY|Diamond Jim Brady|In the 1880s he made his fortune selling railroad cars for the Fox Pressed Steel Co. & got seriously into jewelry
100|U.S.A.|Connecticut|Sounds fishy, but Mystic Aquarium is one of the top attractions in this state
200|U.S.A.|Vermont|At 306 feet high, the Bennington Battle Monument in this state was once the tallest battle monument in the world
300|U.S.A.|Alabama|The Muscle Shoals area of this state includes the cities of Sheffield & Tuscumbia
400|U.S.A.|Massachusetts|The Jacob's Pillow Dance Festival is an annual event in this New England state
500|U.S.A.|New Orleans|If you live in this city that was founded in 1718, you're an Orleanian
100|SPORTS SUPERSTARS|Roger Maris|In 1961 Mickey Mantle & this teammate hit a total of 115 home runs--the most by 2 teammates in baseball history
200|SPORTS SUPERSTARS|John Elway|In 1987 this Broncos quarterback became the first quarterback to receive a pass in the Super Bowl
300|SPORTS SUPERSTARS|the Tour de France|On July 25, 1999 Lance Armstrong became the first American since Greg LeMond to win this 2,300-mile race
400|SPORTS SUPERSTARS|Mario Lemieux|In 1999 this former Penguins star became the first retired player to own a major sports team he had played for
500|SPORTS SUPERSTARS|Laffit Pincay or Willie Shoemaker|1 of only 2 jockeys to ride to over 8,000 wins
100|AMERICAN POSTAL ABBREVIATIONS|Missouri|MO
200|AMERICAN POSTAL ABBREVIATIONS|Minnesota|MN
300|AMERICAN POSTAL ABBREVIATIONS|Arkansas|AR
400|AMERICAN POSTAL ABBREVIATIONS|U.S. Virgin Islands|VI
500|AMERICAN POSTAL ABBREVIATIONS|Guam|GU
100|STATUES|Paul Bunyan|A 31-foot-high statue of this mythical lumberjack stands on Bangor, Maine's main street; alas, no Babe the Ox
200|STATUES|Statue of Liberty|In March 1885 Joseph Pulitzer launched a campaign to raise funds for the completion of its pedestal
300|STATUES|Colossus of Rhodes|Around 650 A.D. the bronze remains of this huge statue of Helios were sold for scrap
400|STATUES|Brer Rabbit|Character depicted in Eatonton, Georgia, the hometown of author Joel Chandler Harris
500|STATUES|Father Damien|Statues of Kamehameha I & of this Belgian priest represent Hawaii in the U.S. Capitol's Statuary Hall
100|BUSINESS & INDUSTRY|Corvette|The 1997 model of this Chevrolet sports car is only the 4th redesign since its 1953 introduction
200|BUSINESS & INDUSTRY|Apple|In December 1996 Steve Jobs returned to this company as a consultant when it bought NeXT Software, Inc.
300|BUSINESS & INDUSTRY|Coppertone|In the 1940s Benjamin Green used his own bald head to test this suntan lotion
